dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.9388888888888888,0.5943351604017696,0.4505514585939498,0.4131546198434235
comedi,english,0.7238134206219312,0.6987460626711182,0.7084801654427864,0.7027193397252385
comedi,german,0.7567653613498886,0.7559369073161444,0.7417376548796897,0.7420465232255892
comedi,norwegian,0.8586956521739131,0.7460935104294142,0.7217170279343512,0.4757527007923031
comedi,russian,0.7291028446389497,0.6983112305567554,0.6728974544107729,0.58651229643131
comedi,spanish,0.6539746158984636,0.6456833874935575,0.7739151429817899,0.7031765479328179
comedi,swedish,0.8542750929368029,0.7801451799069942,0.6947814792088175,0.5753161782796042
mcl-wic,arabic,0.821,0.8198758451495785,0.7075887648424806,0.7110349248374966
mcl-wic,chinese,0.773,0.7671123677695828,0.6663364579098835,0.6832251031662563
mcl-wic,english,0.877,0.876999876999877,0.7738973467487017,0.7828457872247423
mcl-wic,french,0.845,0.844626949305282,0.7430865237495674,0.7497289592256072
mcl-wic,russian,0.774,0.7696125004587362,0.6780070874832811,0.6788118355019365
wic,english,0.6878571428571428,0.6842809806383428,0.4630617371442598,0.4618461634598054
