dataset,language,pearson,spearman
comedi,chinese,0.0133848769583468,0.0557606824654454
comedi,english,0.1465491512716412,0.1676510123178332
comedi,german,0.127423824054055,0.1402200012712703
comedi,norwegian,0.0388992654966334,0.1021348315021265
comedi,russian,0.0650441248126997,0.0778145654139931
comedi,spanish,0.2485672748761402,0.2432137081169156
comedi,swedish,0.104967272925652,0.1139184008226005
mcl-wic,arabic,0.224921557383148,0.2440149236446303
mcl-wic,chinese,0.2978312698611292,0.3205023202079723
mcl-wic,english,0.2502271775331006,0.2918749723610666
mcl-wic,french,0.1519582961147594,0.1760907770697055
mcl-wic,russian,0.1308063007506962,0.1496492762712576
wic,english,0.0718715876046924,0.0988524085078367
