dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.8888888888888888,0.54773238040732,0.4580362897161842,0.4068657134143361
comedi,english,0.660392798690671,0.6084721279682287,0.735289011724873,0.7293813563890891
comedi,german,0.6090417064629099,0.6051709665928289,0.7389874206492508,0.7403960589398274
comedi,norwegian,0.7434782608695653,0.6326464315900607,0.6472393076185396,0.4483896633575506
comedi,russian,0.6266958424507658,0.6120480747852994,0.7054409829594814,0.6080919137100886
comedi,spanish,0.5130260521042084,0.5130251828978516,0.7804704450732707,0.7317235316104651
comedi,swedish,0.6899628252788104,0.6369403992286524,0.734562267178809,0.6207941722586391
mcl-wic,arabic,0.831,0.8291878539424757,0.7349877462176109,0.7418030907672368
mcl-wic,chinese,0.834,0.8339760925573283,0.725119712242082,0.7301567753139846
mcl-wic,english,0.839,0.836100786818024,0.8327318906747434,0.8195098570513998
mcl-wic,french,0.704,0.6776315502873,0.743815604601775,0.7473248715026576
mcl-wic,russian,0.767,0.7577899633566361,0.7460931906100092,0.7429393166651151
wic,english,0.6742857142857143,0.6543778801843319,0.5264184431325267,0.5284382318022536
