dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.9783950617283952,0.6820037688442211,0.3807945051372771,0.268009034020905
comedi,english,0.813011456628478,0.8115803134637377,0.6775449958878281,0.6816596533007295
comedi,german,0.8385864374403056,0.8319983643839111,0.7230814041399013,0.7224469835160108
comedi,norwegian,0.9297101449275362,0.8180852061388428,0.6435564794781112,0.4339224831782938
comedi,russian,0.8647702407002188,0.7800763806022798,0.6505221983177604,0.5436413306020613
comedi,spanish,0.8957915831663327,0.8559902321107027,0.7732067438010999,0.7192608991197952
comedi,swedish,0.912267657992565,0.8274471175590579,0.7395201946290846,0.5684976021017621
mcl-wic,arabic,0.822,0.8200537008281573,0.679547377356576,0.7038642309088134
mcl-wic,chinese,0.776,0.7666666666666666,0.6720959801493868,0.7015224970461131
mcl-wic,english,0.87,0.8693598633303186,0.7601382260428178,0.7866216598731793
mcl-wic,french,0.826,0.8259825982598259,0.6870212206548139,0.7032060512728475
mcl-wic,russian,0.842,0.8404678532627353,0.710791205918894,0.7361566023113173
wic,english,0.7042857142857143,0.7036270405043045,0.4675689242728597,0.473977591802673
