dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.9231481481481482,0.5662298461351518,0.4544424259366174,0.3927663128896606
comedi,english,0.7581833060556464,0.7417223623218959,0.7550914483172737,0.7494167013370405
comedi,german,0.7389366443807704,0.7383635884908504,0.7599565166092503,0.7560538752338657
comedi,norwegian,0.8297101449275363,0.7143413334789668,0.6672792093805062,0.4524882233862614
comedi,russian,0.7816192560175055,0.7447927962771843,0.7159117204343427,0.6070836875593967
comedi,spanish,0.7100868403473614,0.6977024008933557,0.8078018986751969,0.7413612956018448
comedi,swedish,0.8252788104089219,0.7561843888584192,0.7440789700042627,0.6094989483582857
mcl-wic,arabic,0.844,0.843984398439844,0.721825907491278,0.731313785831946
mcl-wic,chinese,0.838,0.8362286490683231,0.7288343723210736,0.7326578579306557
mcl-wic,english,0.913,0.912916312576386,0.8285201148782335,0.8182419952263283
mcl-wic,french,0.805,0.8008120738527542,0.7367408392420958,0.7420178651747626
mcl-wic,russian,0.836,0.8348897990085333,0.7510607683126911,0.7494726155779152
wic,english,0.7214285714285714,0.717552702803367,0.5306086430737573,0.5311989094059191
