dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.9787037037037036,0.5087014519634581,0.3242020147952605,0.3794037338337286
comedi,english,0.7344517184942717,0.7304168185684774,0.6145086727686084,0.6452248302419673
comedi,german,0.795924864692773,0.761991586759401,0.6325651796598055,0.670149149856193
comedi,norwegian,0.946376811594203,0.8582957749605915,0.712150747242771,0.4147311552229615
comedi,russian,0.862144420131291,0.7692085708101868,0.6440927362025682,0.5640642644632076
comedi,spanish,0.901135604542418,0.8567945602151094,0.7950084948966697,0.7045014207088823
comedi,swedish,0.8795539033457249,0.7853605005792281,0.6100632925379589,0.4884112684444334
mcl-wic,arabic,0.702,0.6781913055497961,0.6254040196721945,0.6740729421229806
mcl-wic,chinese,0.51,0.3600994588269708,0.332798329222366,0.5845501228288573
mcl-wic,english,0.715,0.6913149010420558,0.6471202173040189,0.7276487644906191
mcl-wic,french,0.702,0.6758558276336171,0.6199710801401597,0.6831142518591462
mcl-wic,russian,0.757,0.7479982453211156,0.6270360645010054,0.6677682740310952
wic,english,0.6421428571428571,0.6166540688284666,0.4105937843773399,0.4149111093990257
